Date,Close,Close,Close,Close,Close
2023-06-06,271.1200,126.6100,179.2100,399.2900,127.3100
2023-06-05,271.3900,125.3000,179.5800,403.5400,126.0100
2023-06-02,272.6100,124.2500,180.9500,400.4700,124.6700
2023-06-01,272.6100,122.7700,180.0900,403.1300,123.7200
2023-05-31,264.7200,120.5800,177.2500,395.2300,122.8700
2023-05-30,262.5200,121.6600,177.3000,392.9800,123.6700
2023-05-26,262.0400,120.1100,175.4300,378.8800,124.6100
2023-05-25,252.6900,115.0000,172.9900,359.0000,123.4800
2023-05-24,249.2100,116.7500,171.8400,364.8500,120.9000
2023-05-23,246.7400,114.9900,171.5600,355.9900,122.5600
2023-05-22,248.3200,115.0100,174.2000,363.0100,125.0500
2023-05-19,245.6400,116.2500,175.1600,365.3600,122.7600
2023-05-18,246.8500,118.1500,175.0500,371.2900,122.8300
2023-05-17,242.4850,115.5000,172.6900,339.9600,120.8400
2023-05-16,238.8200,113.4000,172.0700,333.7500,119.5100
2023-05-15,238.8600,111.2000,172.0700,335.8900,116.5100
2023-05-12,233.8100,110.2600,172.5700,339.8900,117.5100
2023-05-11,235.7900,112.1800,173.7500,344.7600,116.5700
2023-05-10,233.0800,110.1900,173.5550,335.4200,111.7500
2023-05-09,233.3700,106.6200,171.7700,332.1400,107.3500
2023-05-08,233.2700,105.8300,173.5000,331.2100,107.7700
2023-05-05,232.7800,105.6550,173.5700,322.7600,105.5700
2023-05-04,233.5200,104.0000,165.7900,320.7800,104.6900
2023-05-03,237.0300,103.6500,167.4500,319.3000,105.4100
2023-05-02,239.2400,103.6300,168.5400,317.5500,105.3200
2023-05-01,243.1800,102.0500,169.5900,324.1200,107.2000
2023-04-28,240.3200,105.4500,169.6800,329.9300,107.3400
2023-04-27,238.5600,109.8200,168.4100,325.8500,107.5900
2023-04-26,209.4000,104.9800,163.7600,321.1500,103.7100
2023-04-25,207.5500,102.5700,163.7700,322.5500,103.8500
2023-04-24,212.7900,106.2100,165.3300,329.0200,105.9700
2023-04-21,212.8900,106.9600,165.0200,327.9800,105.4100
2023-04-20,213.0700,103.8100,166.6500,325.3500,105.2900
2023-04-19,215.7000,104.3000,167.6300,323.1200,104.1800
2023-04-18,217.8900,102.3000,166.4700,333.7000,104.5000
